word,translation,phonetic
dethrone,verb: 废黜,di'θrәun
trivia,noun: 琐事，花絮，小事,'triviә
itinerary,noun: 行程，行程安排，旅程，日程安排，日程表,ai'tinәrәri
monopoly,noun: 垄断，专卖，垄断地位，独占，专营,mә'nɒpәli
veracity,noun: 准确性，真实性，准确度,vә'ræsiti
complement,noun: 补充，补语，补，补足，互补 verb: 相辅相成,'kɒmplimәnt
upstart,noun: 暴发户，新贵,'ʌpstɑ:t
byword,noun: 代名词，代号,'baiwә:d
glint,noun: 闪烁,glint
assess,verb: 评估，评价，评定，考核，衡量,ә'ses
protectionism,noun: 保护主义，贸易保护主义,prә'tekʃәnizm
infuriate,verb: 激怒,in'fjuәrieit
subsidy,noun: 补贴，资助，津贴，补助，资助额，补助金,'sʌbsidi
disparate,adj: 异类，不同，迥然不同，迥异，截然不同，不相干，异构,'dispәrәt
contradictory,adj: 矛盾，相互矛盾，互相矛盾，自相矛盾，前后矛盾，相互对立，对立,.kɒntrә'diktәri
underpin,verb: 支撑,.ʌndә'pin
divert,verb: 转移，疏导，分流，改道,dai'vә:t
bloc,noun: 集团，阵营,blɒk
illusion,noun: 错觉，幻觉，幻象，幻想，假象，幻像，幻影，虚幻，梦幻，幻,i'lju:ʒәn
defy,verb: 违抗，藐视，无视，不怕，蔑视 noun: 不服,di'fai
audacious,adj: 大胆，无畏,ɒ:'deiʃәs
olfaction,noun: 嗅觉,ɒl'fækʃәn
painstaking,verb: 苦心，潜心，艰苦，辛劳，辛辛苦苦，艰辛，刻苦,'peinzteikiŋ
cortex,noun: 皮层，皮质，大脑皮层，脑皮层，大脑皮质,'kɒ:teks
vertebrate,noun: 脊椎动物，无脊椎动物,'vә:tibreit
deprive,verb: 剥夺，剥削，遮,di'praiv
metabolically,adv: 代谢，新陈代谢,
hamstring,verb: 腿筋 noun: 肌腱，腱,'hæmstriŋ
predominantly,adv: 主要，占主导地位,
slumber,noun: 沉睡，睡衣，打盹,'slʌmbә
pathogen,noun: 病原体，病原，病原菌，病病原，致病菌，病菌，病原学，邪,'pæθәdʒ(ә)n
magnitude,noun: 震级，幅度，级，大小，规模，严重性,'mægnitju:d
armoury,noun: 军械库，武器厂,
jab,verb: 戳 noun: 猛击,dʒæb
dividend,noun: 股利，股息，红利，分红，派息,'dividend
transactional,adj: 事务性，事务,
sup,verb: 燮 noun: 支持,sʌp
perceive,verb: 感知，察觉，觉察到，觉察，看待,pә'si:v
ambivalent,adj: 矛盾,æm'bivәlәnt
forestall,noun: 垄断,fɒ:'stɒ:l
mesh,noun: 网格，网，网状，网格划分，滤网，丝网 verb: 网眼，啮合，筛网，目,meʃ
expedient,noun: 权宜之计，合宜，权宜，适宜,ik'spi:diәnt
bogus,adj: 假，伪造，虚假，伪，莫须有，骗人，皮包，虚伪，冒充,'bәugәs
tarnish,verb: 玷污，抹黑 noun: 失去光泽，变色,'tɑ:niʃ
rebut,verb: 反驳，驳斥,ri'bʌt
tense,adj: 紧张，时态，紧绷，绷紧,tens
sterilisation,noun: 消毒，绝育，断种,
assimilation,noun: 同化，消化吸收,ә.simi'leiʃәn
mosque,noun: 清真寺，座清真寺,mɒsk
oppression,noun: 压迫，欺压，压抑，受压迫，压制，镇压，暴虐，迫害,ә'preʃәn
deportation,noun: 驱逐出境，递解，遣返，驱逐，遣送，放逐,.di:pɒ:'teiʃәn
dispatch,noun: 调度，派遣，分派，发运，发货，分发 verb: 派出,dis'pætʃ
ratify,verb: 批准,'rætifai
counterfeit,noun: 假冒，冒牌，伪造，伪冒，假冒伪劣，假药，假，盗版 adj: 冒牌货，仿冒，伪,'kauntәfit
weasel,noun: 黄鼠狼，鼬鼠，滑头，鼬,'wi:zl
hedgehog,noun: 刺猬，猬,'hedʒhɒg
swab,noun: 拭子，棉签，拭，擦拭 verb: 擦洗,swɒb
raccoon,noun: 浣熊，浣，只浣熊，貉,ræ'ku:n
unleash,verb: 释放,.ʌn'li:ʃ
demolish,verb: 拆除，清拆，拆毁，拆卸，拆迁,di'mɒliʃ
graphite,noun: 石墨，墨,'græfait
viral,adj: 病毒,'vairәl
unattainable,adj: 高不可攀，不可企及，遥不可及,.ʌnә'teinәbl
resent,verb: 怨恨，反感，憎恨，讨厌，痛恨，怨,ri'zent
hustle,noun: 喧嚣，奔忙，拥挤，喧闹,'hʌsl
autonomy,noun: 自治，自主权，自治权，自主，高度自治，自律,ɒ:'tɒnәmi
startle,verb: 吓，惊吓,'stɑ:tl
fame,noun: 名声，名望，名利，名气，成名，名誉，名人堂，声誉，声望，荣誉,feim
bastion,noun: 堡垒，巴士廷,'bæstʃәn
collectivism,noun: 集体主义,kә'lektivizm
assemble,verb: 组装，装配，集合，召集，汇编，集会 noun: 集聚,ә'sembl
warranty,noun: 保修，质保，保修期，保固，保修期内，担保，保证书，保单,'wɒ:rәnti
rectangular,adj: 矩形，长方形，直角，扁，方形，矩 noun: 长方,rek'tæŋgjulә
drawer,noun: 抽屉，抽屉里,'drɒ:ә
suite,noun: 套房，套件，套间，组曲，套装，一套,swi:t
complimentary,adj: 免费赠送，免费，赠，互补，恭维 noun: 自助,.kɒmpli'mentәri
dashboard,noun: 仪表板，仪表盘，仪表，信息中心,'dæʃbɒ:d
aquatic,adj: 水生，水体 noun: 水产，水产品,ә'kwætik
bathtub,noun: 浴缸，浴缸里，浴盆，澡盆，缸，浴池,'bɑ:θtʌb
goggle,noun: 护目镜,'gɒgl
chlorine,noun: 氯，氯气,'klɒ:ri:n
attic,noun: 阁楼，顶楼,'ætik
heritage,noun: 遗产，文物，传承，底蕴，传统，积淀，继承，古迹，遗迹，血统,'heritidʒ
wasp,noun: 黄蜂，胡蜂，蜂，寄生蜂,wɒsp
nest,noun: 巢，窝，鸟巢，巢穴，筑巢，鸟窝，蚁穴，蚁巢，嵌套,nest
sting,verb: 蜇，蛰，斯汀，叮 noun: 刺痛，刺，毒刺，螫,stiŋ
saliva,noun: 唾液，口水，哈喇子，唾沫，涎,sә'laivә
spew,verb: 喷涌，喷,spju:
substance,noun: 物质，实质，物，实体，药物，实质上，实质性,'sʌbstәns
mystery,noun: 神秘，谜，奥秘，谜团，神秘感，之谜，神秘面纱，神秘色彩，迷，秘密，推理,'mistәri
shred,noun: 一丝一毫，丝毫 verb: 撕碎,ʃred
unharmed,adj: 安然无恙，无恙，毫发无伤，毫发无损,'ʌn'hɑ:md
mint,noun: 薄荷，造币厂，薄荷糖，薄荷味，铸币,mint
genre,noun: 体裁，流派，语体，文体,'ʒɒŋrә
romance,noun: 浪漫，罗曼史，恋情，浪漫史，言情，浪漫爱情，爱情，恋爱，罗曼，传奇,rәu'mæns
psychological,adj: 心理，心理学,.saikә'lɒdʒikәl
alternatively,adv: 另外，或者，交替,ɒ:l'tә:nәtivli
ultimate,adj: 终极，最终，极限，极致，末,'ʌltimit
unprecedented,adj: 前所未有，空前，史无前例，空前绝后，从未有过，先例,.ʌn'presidentid
revile,verb: 辱骂,ri'vail
tout,verb: 兜售，吹嘘 noun: 吹捧,taut
correlate,verb: 相关,'kɒrәleit
mimic,verb: 模仿，模拟，仿造,'mimik
prey,noun: 猎物，食饵，捕食，猛禽，捕食者，牺牲品，捕猎,prei
compulsive,adj: 强迫，强迫症，强制，强制性，嗜，情不自禁,kәm'pʌlsiv
superintendent,noun: 警司，院长，监督，督学，管理者，警，总监,,sju:pәrin'tendәnt
rectify,verb: 纠正，整顿，矫正，改正，更正,'rektifai
disgruntled,adj: 心怀不满，不满,dis'^rʌnt(ә)ld
combat,noun: 作战，战斗，格斗，实战 verb: 打击，对抗，抗击，对付,'kɒmbæt
polymer,noun: 聚合物，高分子，高聚物，聚，聚合,'pɒlimә
insulin,noun: 胰岛素,'insjulin
commemorate,verb: 纪念，留念,kә'memәreit
withstand,verb: 承受，经受住，经得起，抵御，抵挡，经受，抵抗，耐 noun: 耐受，耐压,wið'stænd
damp,adj: 潮湿，受潮，湿，阻尼，阴湿，湿气，潮，湿润，防潮,dæmp
metallic,noun: 金属 adj: 金银,mi'tælik
incandescent,noun: 白炽灯 adj: 白炽,.inkæn'desnt
diligent,noun: 勤奋，勤勉，勤于，勤政，勤恳，吃苦耐劳，勤 adj: 勤快，勤劳，用功,'dilidʒәnt
imitation,noun: 模仿，仿，仿制，仿制品，摹仿，仿造，仿效，赝品,.imi'teiʃәn
mediate,verb: 调解，调停，斡旋，介导，调和,'mi:dieit
communion,noun: 交往，交谊，往来，共同性,
immaterial,adj: 无形，无关紧要,.imә'tiәriәl
hip,noun: 髋关节，髋，髋部，臀部，臀，髋骨，臀围，胯，时髦,hip
compression,noun: 压缩，压，加压，压迫，压缩编码，挤压,kәm'preʃәn
unyielding,verb: 不屈，不屈不挠，坚强不屈，倔强,.ʌn'ji:ldiŋ
asphalt,noun: 沥青，柏油,'æsfælt
humble,adj: 卑微，谦卑，谦虚，谦逊，不起眼，卑下，简陋，谦和，卑贱，谦恭,'hʌmbl
agility,noun: 敏捷，灵活性，灵活，机动性，机敏，灵敏,ә'dʒiliti
concentration,noun: 浓度，集中，浓缩，药浓度，含量，富集，专注，浓，集聚，注意力,.kɒnsәn'treiʃәn
lush,adj: 郁郁葱葱，茂盛，繁茂，葱郁，茂密，葱翠，丰美，苍翠，青翠,lʌʃ
greenery,noun: 绿色植物，绿叶，绿化，绿树，绿意，绿荫，绿色环保，绿地,'gri:nәri
pavement,noun: 路面，人行道，铺装，行人路，铺装层，铺面,'peivmәnt
castigate,verb: 谴责,'kæstigeit
fixate,verb: 固定，注视,'fikseit
solitude,noun: 孤独，独处，孤寂，独居，寂寥，寂寞，隐居,'sɒlitju:d
instinctively,adv: 出于本能，本能，凭直觉,
crave,verb: 渴望，奢求，渴求,kreiv
tedious,adj: 繁琐，乏味，单调乏味，冗长，枯燥，烦琐，单调，沉闷，枯燥乏味，无聊，繁重,'ti:diәs
myth,noun: 神话，迷思，谬论，传说，误区，荒诞，误解，谣言,miθ
sidewalk,noun: 人行道，便道，边路，路边,'saidwɒ:k
pique,noun: 皮克，赌气,pi:k
underfoot,noun: 脚下,.ʌndә'fut
exhilarating,adj: 令人振奋，过瘾，令人兴奋，激动人心，令人愉快,ig'zilәreitiŋ
uncharitable,adj: 无情,.ʌn'tʃæritәbl
presumptuous,noun: 放肆，冒昧，专横，自以为是,pri'zʌmptʃuәs
indifferent,adj: 无动于衷，漠不关心，淡泊，冷漠，淡然，淡漠，无所谓，漠然，漠视，冷淡，无关紧要,in'difәrәnt
memo,noun: 备忘录，份备忘录，备忘，便笺，备注，便条，张便条,'memәu
